map,grid_size,a_star_time_ms,a_star_length_px,a_star_smoothness,a_star_nodes,mctd_time_ms,mctd_length_px,mctd_smoothness,mctd_nodes,mctd_fallback,hmctd_time_ms,hmctd_length_px,hmctd_smoothness,hmctd_nodes,hmctd_fallback_rate,hmctd_fallback_triggered
maze_100000_12.json,512,23.313,554.52,83.8916,533,103.437,554.52,83.8916,533,False,588.188,542.1,26.2559,1342,14.29,True
maze_100000_26.json,512,17.558,533.29,96.8455,425,43.133,533.29,96.8455,425,False,602.754,524.87,35.6915,521,0.0,False
maze_100000_42.json,512,25.723,561.03,80.1905,473,50.204,561.03,80.1905,473,False,606.192,581.17,18.4992,838,0.0,False
maze_10000_17.json,512,3635.528,820.78,129.5386,136669,51436.285,820.78,129.5386,1228507,True,4361.909,759.91,53.1895,89606,71.43,True
maze_10000_26.json,512,17483.442,806.42,92.5275,557577,28941.079,806.42,92.5275,805494,True,3343.061,756.61,40.8636,101890,71.43,True
maze_10000_36.json,512,9699.834,727.0,80.1905,319020,13698.616,727.0,80.1905,319020,False,6497.453,702.54,44.4277,170766,100.0,True
maze_1000_23.json,512,2818.499,484.45,23.4403,93878,3951.036,484.45,23.4403,93878,False,4302.469,458.21,8.6981,183750,80.0,True
maze_1000_44.json,512,822.26,487.85,33.3099,34496,1171.42,487.85,33.3099,34496,False,990.874,468.12,16.626,27408,60.0,True
maze_100_19.json,128,61.063,169.15,15.4213,3244,120.624,169.15,15.4213,3182,False,247.105,171.28,7.001,8484,100.0,True
maze_100_34.json,128,24.366,116.33,15.4213,1171,42.102,116.33,15.4213,1171,False,43.47,104.1,2.3222,1170,0.0,False
maze_100_45.json,128,11.301,139.68,11.1033,467,23.138,139.68,11.1033,467,False,78.581,130.22,10.1486,1466,50.0,True
maze_20000_1.json,512,87.617,255.61,29.6088,3873,142.603,255.61,29.6088,3873,False,838.773,228.52,14.6741,27968,100.0,True
maze_20000_23.json,512,972.632,438.71,90.677,35633,1323.08,438.71,90.677,35633,False,1531.693,410.59,29.7411,42752,80.0,True
maze_20000_5.json,512,1072.181,601.13,167.1664,38193,1650.449,601.13,167.1664,38193,False,2832.854,532.15,45.4934,63465,20.0,True
maze_2000_29.json,512,3059.74,505.98,29.6088,107972,16936.235,505.98,29.6088,448515,True,2031.85,485.34,14.9952,67303,75.0,True
maze_2000_45.json,512,1350.501,403.04,33.3099,52846,1831.571,403.04,33.3099,52846,False,1482.092,393.69,14.1474,42367,100.0,True
maze_200_18.json,256,274.053,220.02,19.1224,14839,364.358,220.02,19.1224,14840,True,1039.578,205.66,3.2449,35170,66.67,True
maze_200_26.json,256,42.504,146.74,8.6359,2126,72.504,146.74,8.6359,2126,False,104.963,138.65,2.5996,3884,100.0,True
maze_200_6.json,256,268.299,339.02,25.2909,10339,293.551,339.02,25.2909,10339,False,758.026,317.29,9.092,22359,25.0,True
maze_50000_23.json,512,20.419,512.91,110.4162,635,47.003,512.91,110.4162,635,False,572.007,498.09,34.5805,930,0.0,False
maze_50000_32.json,512,50.258,547.67,107.3319,1700,78.761,547.67,107.3319,1700,False,711.066,518.22,37.2875,1701,0.0,False
maze_5000_10.json,512,660.4,648.85,64.1524,24909,655.724,648.85,64.1524,24910,True,1621.249,613.09,44.2623,20387,42.86,True
maze_5000_24.json,512,784.552,378.94,33.3099,28718,1826.737,378.94,33.3099,60087,True,1020.951,358.62,17.7238,31744,100.0,True
maze_5000_43.json,512,9569.076,803.9,75.2557,300976,13566.006,803.9,75.2557,293257,False,4193.567,774.71,47.4646,81557,66.67,True
maze_500_13.json,256,160.273,407.24,29.6088,7851,6636.916,407.24,29.6088,141664,True,650.631,378.74,11.8746,18534,66.67,True
maze_500_34.json,256,250.02,325.75,14.8044,10133,254.102,325.75,14.8044,10134,True,327.808,314.94,8.5963,10526,100.0,True
maze_500_49.json,256,212.498,339.12,22.2066,11292,320.108,339.12,22.2066,11292,False,1046.627,326.14,13.5832,32851,33.33,True
maze_50_27.json,128,38.311,160.92,8.0191,1759,51.456,160.92,8.0191,1759,False,846.861,151.86,2.298,31587,100.0,True
maze_50_40.json,128,175.706,131.23,10.4865,9541,270.57,131.23,10.4865,9541,False,501.427,124.08,2.5278,19497,100.0,True
maze_50_6.json,128,8.481,191.54,9.2528,171,1812.911,191.54,9.2528,59017,True,242.764,186.28,3.3957,8071,100.0,True
maze_600_29.json,512,11.231,115.25,9.8696,565,24.554,115.25,9.8696,566,True,41.191,104.43,3.7269,565,0.0,False
maze_600_45.json,512,125.826,436.06,28.992,6480,181.077,436.06,28.992,6480,False,1522.007,405.16,13.9026,55190,50.0,True
maze_60_15.json,128,13.124,156.82,11.1033,442,36.185,156.82,11.1033,442,False,102.848,138.35,2.9261,1450,0.0,False
maze_60_28.json,128,17.477,141.47,8.0191,859,21.993,141.47,8.0191,860,True,36.776,128.89,1.883,980,50.0,True
maze_60_42.json,128,17.982,147.27,14.8044,818,53.043,147.27,16.0381,818,False,46.652,137.44,8.2403,510,0.0,False
maze_60_49.json,128,3.706,63.33,2.4674,161,10.326,63.33,2.4674,161,False,13.409,62.25,1.0341,161,0.0,False
maze_70000_20.json,512,20.056,576.1,93.1444,667,287590.379,576.1,93.1444,6633571,True,503.959,558.2,23.0198,791,0.0,False
maze_70000_38.json,512,35.247,608.51,127.0712,1252,546463.922,608.51,127.0712,12755115,True,635.308,595.16,43.7394,958,0.0,False
maze_7000_13.json,512,1278.71,642.73,78.34,54168,3355.085,642.73,78.34,117109,True,1848.203,601.64,33.8983,50500,60.0,True
maze_7000_24.json,512,313.66,591.33,80.1905,12836,6142.276,591.33,80.1905,168903,True,6667.719,538.19,30.1144,246658,71.43,True
maze_7000_43.json,512,4039.529,751.93,74.022,150807,4360.961,751.93,74.022,161146,True,3945.06,722.58,43.5864,110173,100.0,True
maze_700_11.json,512,800.526,649.51,37.011,43084,1130.12,649.51,37.011,43084,False,3514.883,599.08,9.6839,137495,66.67,True
maze_700_35.json,512,1556.274,438.61,23.4403,59529,2267.454,438.61,23.4403,59529,False,4777.486,405.45,7.0304,204176,100.0,True
maze_70_12.json,128,19.066,151.05,11.7202,1004,36.429,151.05,11.7202,1004,False,49.828,137.78,2.8215,392,0.0,False
maze_70_26.json,128,137.371,128.8,4.9348,7298,197.327,128.8,4.9348,7298,False,216.219,124.52,0.9689,7298,0.0,False
maze_70_37.json,128,3.911,102.14,4.9348,148,389.981,102.14,4.9348,13360,True,299.765,97.24,1.4407,10784,100.0,True
maze_70_48.json,128,13.718,102.5,7.4022,686,43.402,102.5,7.4022,686,False,25.8,94.14,1.0767,686,0.0,False
maze_800_24.json,512,808.096,412.46,29.6088,31784,1270.609,412.46,29.6088,31784,False,2695.571,465.53,20.2369,93324,50.0,True
maze_800_5.json,512,4567.056,479.15,18.5055,149527,6460.525,479.15,18.5055,149059,False,1796.459,462.94,12.1376,51697,33.33,True
