map,grid_size,path_length_px,trad_rmse_m,trad_max_err_m,trad_energy,trad_success,trad_time_s,hyb_rmse_m,hyb_max_err_m,hyb_energy,hyb_success,hyb_time_s,rmse_improvement_pct
maze_100000_12.json,512,554.52,0.2591,0.2594,6.6509,0.0,176.82,0.3083,0.3198,7.7171,0.0,126.073,-18.99
maze_10000_23.json,512,689.26,0.3734,0.4675,175.198,0.0,133.628,0.3221,0.3461,241.0452,0.0,125.955,13.74
maze_100_13.json,128,170.43,0.014,0.0954,215.0905,1.0,14.526,0.0336,0.0995,312.5771,1.0,21.077,-139.82
maze_20000_1.json,512,255.61,0.0495,0.5243,332.8842,1.0,25.343,0.1166,0.6957,478.0567,1.0,35.089,-135.36
maze_2000_41.json,512,539.79,0.1564,0.2236,16.7674,0.0,89.517,0.2448,0.4474,712.2472,0.0,112.597,-56.55
maze_50000_16.json,512,533.81,0.1607,0.1835,162.103,0.0,65.464,0.0478,0.225,970.5009,1.0,68.569,70.23
maze_5000_24.json,512,378.94,0.3768,0.3881,38.5095,0.0,61.914,0.3337,0.5397,102.3032,0.0,67.592,11.45
maze_500_40.json,256,362.14,0.3352,0.5508,222.8884,0.0,47.336,0.2361,0.6903,620.5329,0.0,56.793,29.59
maze_600_10.json,512,555.04,0.0131,0.0973,700.4169,1.0,48.921,0.0334,0.1183,1019.0694,1.0,68.017,-154.81
maze_60_28.json,128,141.47,0.0138,0.095,178.4443,1.0,11.745,0.0337,0.117,259.5931,1.0,16.419,-143.45
maze_70000_32.json,512,513.35,0.1653,0.1889,160.8169,0.0,59.61,0.0498,0.2189,932.1422,1.0,68.319,69.85
maze_7000_7.json,512,519.84,0.0223,0.18,668.0566,1.0,49.763,0.0391,0.1657,953.4374,1.0,66.018,-75.2
maze_70_18.json,128,169.57,0.2889,0.3076,31.0571,0.0,50.187,0.298,0.3165,42.0082,0.0,41.155,-3.14
maze_800_19.json,512,764.06,0.3554,0.9022,331.3786,0.0,119.883,0.2334,0.8308,1324.4517,0.0,105.838,34.33
maze_80_3.json,128,88.01,0.4143,0.5516,45.1174,0.0,15.839,0.1588,0.5335,174.1668,1.0,13.517,61.67
