map,grid_size,a_star_time_ms,a_star_cost,a_star_length_px,a_star_smooth,a_star_nodes,a_star_waypoints,mctd_time_ms,mctd_sys1_ms,mctd_sys2_ms,mctd_cost,mctd_length_px,mctd_smooth,mctd_nodes,mctd_waypoints,mctd_fallback
maze_100000_12.json,512,24.5719,554.5189,554.5189,83.891637,533,418,60.4158,32.7355,27.6803,554.5189,554.5189,83.891637,533,418,False
maze_100000_26.json,512,15.5292,533.2935,533.2935,96.845493,425,415,32.8592,8.85,24.0092,533.2935,533.2935,96.845493,425,415,False
maze_100000_42.json,512,18.4636,561.0336,561.0336,80.190536,473,427,34.5349,6.2215,28.3134,561.0336,561.0336,80.190536,473,427,False
maze_10000_17.json,512,4140.5043,820.7788,820.7788,129.538558,136669,700,53079.0185,35.3213,53043.6971,820.7788,820.7788,129.538558,1228507,700,True
maze_10000_26.json,512,17644.9792,806.4163,806.4163,92.527541,557577,737,28431.6658,13.0307,28418.6351,806.4163,806.4163,92.527541,805494,737,True
maze_10000_36.json,512,9441.576,727.0021,727.0021,80.190536,319020,658,13172.5671,14.3378,13158.2292,727.0021,727.0021,80.190536,319020,658,False
maze_1000_23.json,512,2860.856,484.4508,484.4508,23.44031,93878,449,4027.0868,26.3006,4000.7862,484.4508,484.4508,23.44031,93878,449,False
maze_1000_44.json,512,912.3665,487.8478,487.8478,33.309915,34496,435,1242.0073,20.367,1221.6403,487.8478,487.8478,33.309915,34496,435,False
maze_100_19.json,128,73.1323,169.1543,169.1543,15.421257,3244,154,129.7629,19.0808,110.6821,169.1543,169.1543,15.421257,3182,154,False
maze_100_34.json,128,25.9851,116.3259,116.3259,15.421257,1171,102,48.0328,9.77,38.2628,116.3259,116.3259,15.421257,1171,102,False
maze_100_45.json,128,11.3265,139.6812,139.6812,11.103305,467,115,21.8889,3.5907,18.2982,139.6812,139.6812,11.103305,467,115,False
maze_20000_1.json,512,94.5936,255.6102,255.6102,29.608813,3873,233,152.3896,18.423,133.9666,255.6102,255.6102,29.608813,3873,233,False
maze_20000_23.json,512,957.6466,438.7056,438.7056,90.67699,35633,390,1373.045,27.0551,1345.9899,438.7056,438.7056,90.67699,35633,390,False
maze_20000_5.json,512,1058.1426,601.127,601.127,167.166425,38193,511,1463.357,19.3702,1443.9867,601.127,601.127,167.166425,38193,511,False
maze_2000_29.json,512,2991.5173,505.9777,505.9777,29.608813,107972,461,16752.0226,30.7223,16721.3003,505.9777,505.9777,29.608813,448515,461,True
maze_2000_45.json,512,1411.7819,403.0366,403.0366,33.309915,52846,368,1918.6314,20.4752,1898.1563,403.0366,403.0366,33.309915,52846,368,False
maze_200_18.json,256,298.6348,220.0244,220.0244,19.122359,14839,197,318.2103,14.4892,303.7211,220.0244,220.0244,19.122359,14840,197,True
maze_200_26.json,256,45.1576,146.7401,146.7401,8.635904,2126,132,79.0984,18.74,60.3584,146.7401,146.7401,8.635904,2126,132,False
maze_200_6.json,256,207.1566,339.0193,339.0193,25.290861,10339,287,290.0061,13.8276,276.1785,339.0193,339.0193,25.290861,10339,287,False
maze_50000_23.json,512,24.493,512.9087,512.9087,110.416199,635,400,68.5907,31.7298,36.8609,512.9087,512.9087,110.416199,635,400,False
maze_50000_32.json,512,44.5556,547.6661,547.6661,107.331948,1700,436,76.7952,16.2267,60.5685,547.6661,547.6661,107.331948,1700,436,False
maze_5000_10.json,512,670.9391,648.8478,648.8478,64.152429,24909,596,678.6311,12.7863,665.8448,648.8478,648.8478,64.152429,24910,596,True
maze_5000_24.json,512,722.7013,378.9361,378.9361,33.309915,28718,341,1697.429,26.1322,1671.2968,378.9361,378.9361,33.309915,60087,341,True
maze_5000_43.json,512,9345.3135,803.9016,803.9016,75.255734,300976,732,12750.7188,15.2705,12735.4483,803.9016,803.9016,75.255734,293257,732,False
maze_500_13.json,256,168.3667,407.2376,407.2376,29.608813,7851,378,5691.7889,4.9801,5686.8088,407.2376,407.2376,29.608813,141664,378,True
maze_500_34.json,256,217.8819,325.7523,325.7523,14.804407,10133,299,229.807,5.3344,224.4727,325.7523,325.7523,14.804407,10134,299,True
maze_500_49.json,256,245.0785,339.1198,339.1198,22.20661,11292,290,320.8547,5.1431,315.7115,339.1198,339.1198,22.20661,11292,290,False
maze_50_27.json,128,35.9118,160.9239,160.9239,8.019054,1759,135,64.7724,15.4794,49.293,160.9239,160.9239,8.019054,1759,135,False
maze_50_40.json,128,196.0094,131.2254,131.2254,10.486455,9541,114,269.5102,5.7313,263.7789,131.2254,131.2254,10.486455,9541,114,False
maze_50_6.json,128,5.8033,191.5391,191.5391,9.252754,171,171,1829.0313,11.2811,1817.7502,191.5391,191.5391,9.252754,59017,171,True
maze_600_29.json,512,13.5138,115.2548,115.2548,9.869604,565,103,33.2792,16.0877,17.1915,115.2548,115.2548,9.869604,566,103,True
maze_600_45.json,512,136.5416,436.061,436.061,28.991963,6480,377,205.1372,17.5852,187.552,436.061,436.061,28.991963,6480,377,False
maze_60_15.json,128,10.9321,156.8234,156.8234,11.103305,442,128,48.3168,26.7061,21.6107,156.8234,156.8234,11.103305,442,128,False
maze_60_28.json,128,18.8832,141.468,141.468,8.019054,859,123,41.9105,15.2913,26.6191,141.468,141.468,8.019054,860,123,True
maze_60_42.json,128,18.9611,147.267,147.267,14.804407,818,123,35.0477,7.6575,27.3903,147.267,147.267,16.038107,818,123,False
maze_60_49.json,128,3.4384,63.3259,63.3259,2.467401,161,49,11.1371,3.4575,7.6796,63.3259,63.3259,2.467401,161,49,False
maze_70000_20.json,512,21.7333,576.1047,576.1047,93.144392,667,440,293971.8481,19.9424,293951.9057,576.1047,576.1047,93.144392,6633571,440,True
maze_70000_38.json,512,35.6346,608.5067,608.5067,127.071157,1252,484,584040.7102,19.3684,584021.3418,608.5067,608.5067,127.071157,12755115,484,True
maze_7000_13.json,512,1386.8527,642.73,642.73,78.339985,54168,570,3762.5406,20.2719,3742.2687,642.73,642.73,78.339985,117109,570,True
maze_7000_24.json,512,328.4591,591.328,591.328,80.190536,12836,507,6686.2507,18.5339,6667.7167,591.328,591.328,80.190536,168903,507,True
maze_7000_43.json,512,4344.7094,751.931,751.931,74.022033,150807,685,4750.704,10.2643,4740.4398,751.931,751.931,74.022033,161146,685,True
maze_700_11.json,512,855.7721,649.5118,649.5118,37.011017,43084,554,1201.6766,13.5496,1188.1271,649.5118,649.5118,37.011017,43084,554,False
maze_700_35.json,512,1582.7842,438.6051,438.6051,23.44031,59529,387,2293.0115,13.5864,2279.4251,438.6051,438.6051,23.44031,59529,387,False
maze_70_12.json,128,23.6088,151.0538,151.0538,11.720155,1004,133,40.0074,8.0574,31.9501,151.0538,151.0538,11.720155,1004,133,False
maze_70_18.json,128,32.2516,169.5685,169.5685,14.187556,1544,154,51.2001,3.2577,47.9424,169.5685,169.5685,14.187556,1544,154,False
maze_70_26.json,128,152.0473,128.799,128.799,4.934802,7298,124,211.1709,7.9521,203.2188,128.799,128.799,4.934802,7298,124,False
maze_70_37.json,128,5.2726,102.1421,102.1421,4.934802,148,99,434.9335,15.5721,419.3614,102.1421,102.1421,4.934802,13360,99,True
maze_70_48.json,128,19.2752,102.4975,102.4975,7.402203,686,89,52.2306,23.1311,29.0995,102.4975,102.4975,7.402203,686,89,False
maze_800_24.json,512,863.9912,412.463,412.463,29.608813,31784,365,1221.7179,19.061,1202.6569,412.463,412.463,29.608813,31784,365,False
maze_800_5.json,512,4739.9691,479.1493,479.1493,18.505508,149527,435,6777.115,12.6642,6764.4508,479.1493,479.1493,18.505508,149059,435,False
